Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,Road,A-Junction,A Ref E,A Ref N,B-Junction,B Ref E,B Ref N,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGVR2,HGVR3,HGVR4,HGVA3,HGVA5,HGVA6,HGV,AMV
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,N,2000,2000/4/12,7,68,134,852,73,308,53,8,9,2,1,6,79,1446
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,N,2000,2000/4/12,8,88,161,924,74,219,50,12,8,0,2,3,75,1453
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,N,2000,2000/4/12,9,58,91,877,68,197,62,11,8,2,2,5,90,1323
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,N,2000,2000/4/12,10,37,65,794,57,214,57,8,12,4,9,14,104,1234
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,N,2000,2000/4/12,11,25,39,848,57,188,60,10,4,4,7,3,88,1220
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,N,2000,2000/4/12,12,22,54,885,72,205,63,6,13,0,3,11,96,1312
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,N,2000,2000/4/12,13,34,57,842,61,259,59,9,11,1,7,3,90,1309
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,N,2000,2000/4/12,14,36,50,991,63,252,70,5,12,2,8,3,100,1456
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,N,2000,2000/4/12,15,43,52,1129,88,218,46,3,3,1,3,2,58,1545
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,N,2000,2000/4/12,16,68,80,1019,82,274,43,3,2,2,3,4,57,1512
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,N,2000,2000/4/12,17,170,97,1152,69,181,21,2,5,1,1,1,31,1530
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,N,2000,2000/4/12,18,196,133,1200,66,154,31,0,1,0,3,1,36,1589
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,S,2000,2000/4/12,7,96,80,853,75,334,89,7,10,4,6,1,117,1459
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,S,2000,2000/4/12,8,147,118,954,67,258,77,7,7,1,2,1,95,1492
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,S,2000,2000/4/12,9,107,90,563,79,241,91,3,5,1,8,4,112,1085
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,S,2000,2000/4/12,10,65,38,486,61,197,66,4,10,5,4,1,90,872
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,S,2000,2000/4/12,11,31,36,487,48,289,92,4,6,1,2,1,106,966
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,S,2000,2000/4/12,12,30,24,696,63,192,49,9,17,0,6,1,82,1057
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,S,2000,2000/4/12,13,27,51,598,93,337,41,3,10,0,6,6,66,1145
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,S,2000,2000/4/12,14,20,43,726,54,232,46,3,11,2,7,2,71,1126
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,S,2000,2000/4/12,15,51,48,767,65,203,42,2,11,1,3,1,60,1143
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,S,2000,2000/4/12,16,41,68,831,62,165,33,1,6,1,4,1,46,1172
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,S,2000,2000/4/12,17,68,82,798,63,113,18,2,3,1,4,0,28,1084
London,E09000007,Camden,7671,529970,182300,51.52466869,-0.127938667,A4200,A40,530466,181682,A501,529760,182595,PU,S,2000,2000/4/12,18,112,187,1072,73,137,12,1,2,2,2,2,21,1490
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,E,2008,2008/10/13,7,15,17,291,24,99,26,1,0,1,0,0,28,459
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,E,2008,2008/10/13,8,15,26,244,37,74,23,2,0,0,0,1,26,407
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,E,2008,2008/10/13,9,10,29,247,37,73,19,2,0,1,1,0,23,409
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,E,2008,2008/10/13,10,11,22,260,45,68,20,2,0,0,1,0,23,418
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,E,2008,2008/10/13,11,3,26,258,40,85,30,0,1,0,0,0,31,440
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,E,2008,2008/10/13,12,4,17,217,35,79,17,0,0,2,0,0,19,367
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,E,2008,2008/10/13,13,4,12,218,27,39,14,1,2,0,1,1,19,315
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,E,2008,2008/10/13,14,5,22,245,28,59,13,0,0,0,1,0,14,368
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,E,2008,2008/10/13,15,2,14,246,22,37,10,1,1,1,0,1,14,333
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,E,2008,2008/10/13,16,12,28,338,36,66,6,1,1,0,0,0,8,476
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,E,2008,2008/10/13,17,9,35,340,30,42,8,0,0,1,0,0,9,456
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,E,2008,2008/10/13,18,13,33,301,37,39,2,0,0,1,0,0,3,413
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,W,2008,2008/10/13,7,24,64,519,29,162,21,4,1,1,0,1,28,802
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,W,2008,2008/10/13,8,56,114,521,27,119,24,1,2,0,0,0,27,808
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,W,2008,2008/10/13,9,58,96,453,34,118,25,0,0,0,0,0,25,726
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,W,2008,2008/10/13,10,29,48,506,27,129,30,2,0,1,0,1,34,744
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,W,2008,2008/10/13,11,13,31,449,26,110,21,0,0,1,1,0,23,639
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,W,2008,2008/10/13,12,21,35,482,29,104,22,0,0,3,0,0,25,675
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,W,2008,2008/10/13,13,16,43,460,29,43,17,1,1,0,0,0,19,594
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,W,2008,2008/10/13,14,10,30,472,33,90,26,1,1,0,0,0,28,653
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,W,2008,2008/10/13,15,14,37,490,27,82,19,1,4,0,0,0,24,660
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,W,2008,2008/10/13,16,6,37,506,24,64,4,0,0,0,0,0,4,635
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,W,2008,2008/10/13,17,18,45,476,23,50,4,1,0,0,0,0,5,599
London,E09000007,Camden,56815,530000,182765,51.52884057,-0.12733503,A501,A4200,529760,182595,A5202,530231,182908,PU,W,2008,2008/10/13,18,17,34,595,33,28,5,0,0,0,0,0,5,695
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,E,2011,2011/5/25,7,92,21,239,86,87,42,8,0,0,0,0,50,483
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,E,2011,2011/5/25,8,172,54,372,80,132,46,8,2,0,0,0,56,694
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,E,2011,2011/5/25,9,84,40,232,64,128,24,5,4,0,0,0,33,497
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,E,2011,2011/5/25,10,88,46,472,71,144,30,4,0,0,0,0,34,767
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,E,2011,2011/5/25,11,106,92,482,131,241,62,5,1,0,0,0,68,1014
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,E,2011,2011/5/25,12,90,50,372,84,214,28,1,2,0,0,0,31,751
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,E,2011,2011/5/25,13,84,66,346,46,158,32,0,1,0,0,0,33,649
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,E,2011,2011/5/25,14,154,71,417,70,186,28,2,2,0,0,0,32,776
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,E,2011,2011/5/25,15,174,61,318,105,184,46,3,1,0,0,0,50,718
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,E,2011,2011/5/25,16,172,74,342,72,104,16,2,0,0,0,0,18,610
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,E,2011,2011/5/25,17,280,66,412,76,104,14,0,2,0,0,0,16,674
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,E,2011,2011/5/25,18,291,69,426,68,98,11,0,3,0,0,0,14,675
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,W,2011,2011/5/25,7,105,0,0,27,0,0,0,0,0,0,0,0,27
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,W,2011,2011/5/25,8,174,0,0,32,0,0,0,0,0,0,0,0,32
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,W,2011,2011/5/25,9,231,0,0,38,0,0,0,0,0,0,0,0,38
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,W,2011,2011/5/25,10,52,0,0,32,0,0,0,0,0,0,0,0,32
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,W,2011,2011/5/25,11,85,0,0,46,0,0,0,0,0,0,0,0,46
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,W,2011,2011/5/25,12,65,0,0,38,0,0,0,0,0,0,0,0,38
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,W,2011,2011/5/25,13,72,0,0,34,0,0,0,0,0,0,0,0,34
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,W,2011,2011/5/25,14,54,0,0,42,0,0,0,0,0,0,0,0,42
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,W,2011,2011/5/25,15,26,0,0,30,0,0,0,0,0,0,0,0,30
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,W,2011,2011/5/25,16,108,0,0,44,0,0,0,0,0,0,0,0,44
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,W,2011,2011/5/25,17,120,0,0,52,0,0,0,0,0,0,0,0,52
London,E09000007,Camden,27785,530300,181560,51.51794264,-0.123458007,A40,Shaftesbury Ave,530130,181460,Southampton Place,530380,181620,PU,W,2011,2011/5/25,18,133,0,0,47,0,0,0,0,0,0,0,0,47
